Problem ID,Problem Description,Hint,A,B,C,D,Feedback,answer
1,The weights of bags of apples follow the normal distribution with a mean of 5 pounds and a standard deviation of 0.5 pounds. What is the probability that the maximum weight of two randomly chosen bags weighs less than 4.3 pounds?,φ is the cdf of the standard Normal,$$\Phi(4.5)$$,$$\frac{(n^2+n)(2n+1)}{6}$$,$$\Phi(\frac{4.3-5}{0.5})$$,$$1-{\Phi(\frac{4.3-5}{0.5})}^2$$,The maximum is less than a value when both bags weigh less than that value,B
2,The weights of bags of apples follow the normal distribution with a mean of 5 pounds and a standard deviation of 0.5 pounds. What is the probability that the weight of a randomly chosen bag weighs between 4.0 and 4.5 pounds?,φ is the cdf of the standard Normal,$$\Phi(4.5)-(4.0)$$,$${∫^{4.5}_{4}}e^{-5x}dx$$,$${∫^{-1}_{-2}}e^{-5x}dx$$,$$\Phi(\frac{4.3-5}{0.5})-\Phi(\frac{4.0-5}{0.5})$$,,D
3,The weights of bags of apples follow the normal distribution with a mean of 5 pounds and a standard deviation of 0.5 pounds. What is the probability that the weights of four randomly chosen bags average between 4.5 and 4.75 pounds?,think about the standard deviation of the average,$${∫^{-0.5}_{-1}}e^{-5x}dx$$,$$\Phi(\frac{4.75-5}{0.5})-\Phi(\frac{4.5-5}{0.5})$$,$$\Phi(\frac{4.75-5}{0.5/\sqrt{4}})-\Phi(\frac{4.5-5}{0.5/\sqrt{4}})$$,$${∫^{-1}_{-2}}e^{-5x}$$,,C
4,There are an average of 5 fatal accidents on the George Washington Bridge in New York per year that happen independently of each other consistently throughout the year. What is the probability that the next two accidents will occur within the next half of a year?,"think about the type of distribution X=time until two more accidents, would have",$${∫^{1/2}_{0}}5^{2}xe^{-5x}dx$$,$$(\frac{5^2}{2!})e^{-5}$$,$$(\frac{{2.5}^2}{2!})e^{-2.5}$$,$${{5}\choose{2}}{(\frac{1}{2})}^2{(\frac{1}{2})}^3$$,,A
5,There are an average of 5 fatal accidents on the George Washington Bridge in New York per year that happen independently of each other consistently throughout the year. What is the variance of the time until two more accidents occur?,"think about the type of distribution X=time until two more accidents, would have",$$(\frac{2}{5^2})=0.08$$,$${2^2}(5^2)=100$$,$$(\frac{2^2}{5^2})=0.16$$,$$2(5^2)=50$$,,A
6,There are an average of 5 fatal accidents on the George Washington Bridge in New York per year that happen independently of each other consistently throughout the year. What is the Covariance between X = the time to the next accident and Y = the time to the next two accidents?,assume non overlapping intervals are independent,$$0$$,$$E(XY)=1/5$$,$$Var(X)=1/(5^2)$$,$$Var(Y)=2/(5^2)$$,,C
7,20% of registered voters in Pennsylvania are under 25 years old and the probability that a registered voter in that age group will vote in the next Presidential election is 30% lower than the probability for a registered voter over 25 years old. What is the probability that a random voter in the next Presidential election is under 25?,use Bayes Theorem,$$0.2$$,$$(0.2)(0.3)$$,$$1-[\frac{0.8}{0.7}]$$,$$\frac{0.2}{0.2+{\frac{0.8}{0.7}}}$$,,D
8,20% of registered voters in Pennsylvania are under 25 years old and the probability that a registered voter in that age group will vote in the next Presidential election is 30% lower than the probability for a registered voter over 25 years old. What is the probability that a random group of 5 voters in the next Presidential election includes no one under 25?,use Bayes Theorem and independence of different voters,$$0.8^5$$,$$[1-\frac{0.2}{0.2+\frac{0.8}{0.7}}]^5$$,$${{5}\choose{1}}{0.8}^4{0.2}$$,$$0.7^5$$,,B
9,"20% of registered voters in Pennsylvania are under 25 years old and the probability that a registered voter in that age group will vote in the next Presidential election is 30% lower than the probability for a registered voter over 25 years old. In a group of 100 random voters from the next Presidential election, what is the variance of the number of them who are under 25 years old?",use Bayes Theorem and think about the type of variable the number of them will be,$$100(0.2)(0.8)$$,$$\frac{100}{0.7^2}$$,$$\frac{100}{0.8^2}$$,$$100[\frac{0.2}{0.2+\frac{0.8}{0.7}}][1-\frac{0.2}{0.2+\frac{0.8}{0.7}}]$$,,D
10,An insurance company pays claims on an average of 25 cases per day where deer were hit by cars. The average size of these claims is $2100 with a standard deviation of $4300. What is the expected total amount this company will pay out on such claims tomorrow?,use iterated expectation,$$2100$$,$$25(2100)$$,$$(2100)(25)^2$$,$$25\Phi(\frac{2100}{4300})$$,,B
11,An insurance company pays claims on an average of 25 cases per day where deer were hit by cars. The average size of these claims is $2100 with a standard deviation of $4300. What is the variance of the total amount this company will pay out on such claims tomorrow?,use Law of Total variance,$$25^2(4300)^2$$,$$25(4300)^2$$,$$25(4300)^2+25(2100)^2$$,$$25^2(2100)^2$$,,C
12,An insurance company pays claims on an average of 25 cases per day where deer were hit by cars. The average size of these claims is $2100 with a standard deviation of $4300. What is the expected total amount this company will pay out on such claims next week?,what is the distribution of the number of claims in a week?,$$7*25*2100$$,$$2100$$,$$25(2100)$$,$$7*25$$,,A
13,"Twelve men and ten women work in an office. If five of these workers are chosen randomly to plan a company picnic, what is the probability that three men are on this planning committee?",what type of variable is the number of men on the committee?,$${{5}\choose{3}}(\frac{12}{22})^3(\frac{10}{22})^2$$,$$\frac{{{12}\choose{3}}{{10}\choose{2}}}{{22}\choose{5}}$$,$${{12}\choose{3}}({\frac{3}{12}})^3({\frac{2}{10}})^2$$,$$\frac{{22}\choose{5}}{{{22}\choose{12}}{{22}\choose{10}}}$$,,B
14,"Twelve men and ten women work in an office. If five of these workers are chosen randomly to plan a company picnic, what is the variance of the number of women on this planning committee?",what type of variable is the number of women on the committee?,$$5(\frac{12}{22})(\frac{10}{22})$$,$$5^2(\frac{12}{22})(\frac{10}{22})$$,$$(\frac{12}{22})(\frac{10}{22})$$,$$5^2(\frac{12}{22})(\frac{10}{22})[\frac{22-5}{22-1}]$$,,D
15,"Twelve men and ten women work in an office. If five of these workers are chosen randomly to plan a company picnic, and five people are also chosen randomly to plan a second event, what is the probability that no one is on both committees.",what type of variable is the number of people on both committees?,$$\frac{{{5}\choose{0}}{{17}\choose{5}}}{{22}\choose{5}}$$,$$(\frac{5}{22})^2$$,$$(\frac{17}{22})^2$$,$$[1-\frac{{17}\choose{5}}{{22}\choose{5}}]$$,,A
16,"In a random sample of 10 households in Pennsylvania, what is the probability that all of them will have an income above the median for that state?",what is the probability that a single household is above the median?,$$(\frac{1}{2})^{10}$$,$$\frac{1}{10}$$,$$(\frac{1}{10})^2$$,$${{10}\choose{2}}(\frac{1}{2})^{10}$$,,A
17,"In a random sample of 10 households in Pennsylvania, what is the expected value of the cube of the number of them that will have an income above the median for that state?",mean of a function of a random variable,$$[10(\frac{1}{2})]^3$$,$$[\sum^{10}_{i=0}{{10}\choose{i}}(\frac{1}{2})^{10}]^3$$,$$\sum^{10}_{i=0}i^3{{10}\choose{i}}(\frac{1}{2})^{10}$$,$$10(\frac{1}{2})$$,,C
18,"In sampling households in Pennsylvania, what is the variance of the number you will sample until you find three that have an income above the median for that state?",what type of variable is the number you need to find three above the median?,$${3^2}{\frac{1}{2}}^2 = {\frac{9}{4}}$$,$$\frac{3}{\frac{1}{2}}^2=12$$,$$3(\frac{1}{2})(\frac{1}{2})=\frac{3}{4}$$,$$3\frac{(\frac{1}{2})}{(\frac{1}{2})^2}=6$$,,D
19,"For the next car that breaks down on the Pennsylvania turnpike, what is the probability that the absolute value of the log of the distance to the next mile marker is greater than 2?",apply cdf transformation technique,$$e^{-2}$$,$$\frac{1}{2}$$,$$0$$,$$ln(2)$$,,A
20,"For the next five cars that break down on the Pennsylvania turnpike, what is the density of their median distance to the next mile marker?",what type of distribution is median of five uniform random variables?,$$1 for (0 ≤x<1) (=0 otherwise)$$,$$\frac{3}{5}e^{-0.6x} for x>0 (=0 otherwise)$$,"$${{5}\choose{2}}x^3(1-x)^3 for x=0,1,2,3,4 (=0 otherwise)$$",$$\frac{5!}{(2!)(2!)}x^2(1-x)^2 ofr 0<=x<1 (=0 otherwise)$$,,D
21,"For a sample of seven cars that break down on the Pennsylvania turnpike, what is the variance of their minimum distance to the next mile marker?",what type of distribution is the minimum of seven uniform random variables?,$$7(\frac{1}{7})(\frac{6}{7})$$,$$\frac{(7-1)}{[(7+1)^2(7+1+1)]}$$,$$\frac{1}{7}^2$$,$$\frac{1}{12}$$,,B
22,"For a sample of seventy cars that break down on the Pennsylvania turnpike, what is the probability that their average distance to the next mile marker is bigger than 0.52 miles?",apply CLT,$$(0.52)^{70}$$,$${{70}\choose{35}}(0.52)^{35}(0.48)^{35}$$,$$1-\Phi(\frac{0.52-0.50}{(1/12)\sqrt(70)})$$,$$\Phi(\frac{0.52-0.50}{\sqrt(12)})$$,,C
23,"Thirty percent of the customers using a drink vending machine, purchase bottled water. What is the probability that the tenth customer from now is the third one to purchase bottled water?",what type of variables is the number of customers before three purchase water?,$${{10}\choose{3}}(0.3)^3(0.7)^7$$,$$\frac{9!}{2!7!}(0.3)^2(0.7)^7$$,$$(0.3)^{3}(0.7)^{10}$$,$${{3}\choose{2}}{{10}\choose{2}}/{{13}\choose{4}}$$,,B
